sample_id,sample_type,top_bottom,latitude,longitude,mountain_range,depth_cm,site_name,notes
MAWC.UP3B,peat,,,,,,,
MAWC.UP4B,peat,,,,,,,
MAWC.WC1A,peat,,,,,,,
MAWC.WC1B,peat,,,,,,,
MAWC.WC2A,peat,,,,,,,
MAWC.WC2B,peat,,,,,,,
MAWC.WC3A,peat,,,,,,,
MAWC.WC3B,peat,,,,,,,
MAWC.WC4A,peat,,,,,,,
MAWC.WC4B,peat,,,,,,,
MAWC.WG1A_S,peat,,,,,,,
MAWC.WG1B_S,peat,,,,,,,
MAWC.WG2A_S,peat,,,,,,,
MAWC.WG2B_S,peat,,,,,,,
MAWC.WG3A_S,peat,,,,,,,
MAWC.WG3B_S,peat,,,,,,,
MAWC.WG4A_S,peat,,,,,,,
MAWC.WG4B_S,peat,,,,,,,
SNOTEL.IOANA_A10,soil,,,,,,,
SNOTEL.IOANA_A11,soil,,,,,,,
SNOTEL.IOANA_A1,soil,,,,,,,
SNOTEL.IOANA_A12,soil,,,,,,,
SNOTEL.IOANA_A2,soil,,,,,,,
SNOTEL.IOANA_A3,soil,,,,,,,
SNOTEL.IOANA_A4,soil,,,,,,,
SNOTEL.IOANA_A5,soil,,,,,,,
SNOTEL.IOANA_A6,soil,,,,,,,
SNOTEL.IOANA_A7,soil,,,,,,,
SNOTEL.IOANA_A8,soil,,,,,,,
SNOTEL.IOANA_A9,soil,,,,,,,
SNOTEL.IOANA_B10,soil,,,,,,,
SNOTEL.IOANA_B11,soil,,,,,,,
SNOTEL.IOANA_B1,soil,,,,,,,
SNOTEL.IOANA_B12,soil,,,,,,,
SNOTEL.IOANA_B2,soil,,,,,,,
SNOTEL.IOANA_B3,soil,,,,,,,
SNOTEL.IOANA_B4,soil,,,,,,,
SNOTEL.IOANA_B5,soil,,,,,,,
SNOTEL.IOANA_B6,soil,,,,,,,
SNOTEL.IOANA_B7,soil,,,,,,,
SNOTEL.IOANA_B8,soil,,,,,,,
SNOTEL.IOANA_B9,soil,,,,,,,
SNOTEL.IOANA_C10,soil,,,,,,,
SNOTEL.IOANA_C11,soil,,,,,,,
SNOTEL.IOANA_C1,soil,,,,,,,
SNOTEL.IOANA_C12,soil,,,,,,,
SNOTEL.IOANA_C2,soil,,,,,,,
SNOTEL.IOANA_C3,soil,,,,,,,
SNOTEL.IOANA_C4,soil,,,,,,,
SNOTEL.IOANA_C5,soil,,,,,,,
SNOTEL.IOANA_C6,soil,,,,,,,
SNOTEL.IOANA_C7,soil,,,,,,,
SNOTEL.IOANA_C8,soil,,,,,,,
SNOTEL.IOANA_C9,soil,,,,,,,
SNOTEL.IOANA_D10,soil,,,,,,,
SNOTEL.IOANA_D11,soil,,,,,,,
SNOTEL.IOANA_D1,soil,,,,,,,
SNOTEL.IOANA_D12,blank,,,,,,,
SNOTEL.IOANA_D2,soil,,,,,,,
SNOTEL.IOANA_D3,soil,,,,,,,
SNOTEL.IOANA_D4,soil,,,,,,,
SNOTEL.IOANA_D5,soil,,,,,,,
SNOTEL.IOANA_D6,soil,,,,,,,
SNOTEL.IOANA_D7,soil,,,,,,,
SNOTEL.IOANA_D8,soil,,,,,,,
SNOTEL.IOANA_D9,soil,,,,,,,
SNOTEL.IOANA_E10,soil,,,,,,,
SNOTEL.IOANA_E11,soil,,,,,,,
SNOTEL.IOANA_E1,soil,,,,,,,
SNOTEL.IOANA_E12,blank,,,,,,,
SNOTEL.IOANA_E2,soil,,,,,,,
SNOTEL.IOANA_E3,soil,,,,,,,
SNOTEL.IOANA_E4,soil,,,,,,,
SNOTEL.IOANA_E5,soil,,,,,,,
SNOTEL.IOANA_E6,soil,,,,,,,
SNOTEL.IOANA_E7,soil,,,,,,,
SNOTEL.IOANA_E8,soil,,,,,,,
SNOTEL.IOANA_E9,soil,,,,,,,
SNOTEL.IOANA_F10,soil,,,,,,,
SNOTEL.IOANA_F11,soil,,,,,,,
SNOTEL.IOANA_F1,soil,,,,,,,
SNOTEL.IOANA_F12,blank,,,,,,,
SNOTEL.IOANA_F2,soil,,,,,,,
SNOTEL.IOANA_F3,soil,,,,,,,
SNOTEL.IOANA_F4,soil,,,,,,,
SNOTEL.IOANA_F5,soil,,,,,,,
SNOTEL.IOANA_F6,soil,,,,,,,
SNOTEL.IOANA_F7,soil,,,,,,,
SNOTEL.IOANA_F8,soil,,,,,,,
SNOTEL.IOANA_F9,soil,,,,,,,
SNOTEL.IOANA_G10,soil,,,,,,,
SNOTEL.IOANA_G11,soil,,,,,,,
SNOTEL.IOANA_G1,soil,,,,,,,
SNOTEL.IOANA_G12,soil,,,,,,,
SNOTEL.IOANA_G2,soil,,,,,,,
SNOTEL.IOANA_G3,soil,,,,,,,
SNOTEL.IOANA_G4,soil,,,,,,,
SNOTEL.IOANA_G5,soil,,,,,,,
SNOTEL.IOANA_G6,soil,,,,,,,
SNOTEL.IOANA_G7,soil,,,,,,,
SNOTEL.IOANA_G8,soil,,,,,,,
SNOTEL.IOANA_G9,soil,,,,,,,
SNOTEL.IOANA_H10,soil,,,,,,,
SNOTEL.IOANA_H11,soil,,,,,,,
