"","sample_type_depth","Phylum","mean_percent"
"146","sediment_surface","Poribacteria",0.00566312678980164
"147","sediment_surface","WPS-2",0.00507145682668803
"148","sediment_surface","RCP2-54",0.00447978686357443
"149","sediment_surface","SAR324 clade(Marine group B)",0.00439526258312963
"150","sediment_surface","CK-2C2-2",0.00414168974179523
"151","sediment_surface","Acetothermia",0.00278930125467842
"152","sediment_surface","AncK6",0.00270477697423362
"153","sediment_surface","Schekmanbacteria",0.00228215557200962
"154","sediment_surface","Dadabacteria",0.00160596132845121
"155","sediment_surface","Deferrisomatota",0.00160596132845121
"156","sediment_surface","Abditibacteriota",0.00135238848711681
"157","sediment_surface","GAL15",0.00109881564578241
"158","sediment_surface","Deinococcota",0.00109881564578241
"159","sediment_surface","Iainarchaeota",0.00101429136533761
"160","sediment_surface","Entotheonellaeota",0.000507145682668803
"161","sediment_surface","BHI80-139",0.000338097121779202
"162","sediment_surface","10bav-F6",0.000169048560889601
"163","sediment_surface","Hydrothermarchaeota",0.000169048560889601
"164","sediment_surface","Synergistota",0.000169048560889601
"165","sediment_surface","MAT-CR-M4-B07",8.45242804448006e-05
"166","sediment_surface","TX1A-33",8.45242804448006e-05
"167","sediment_surface","Thermotogota",8.45242804448006e-05
"168","sediment_surface","DTB120",0
"169","peat_deep","Chloroflexi",20.69769559949
"170","peat_deep","Proteobacteria",13.7098498668152
"171","peat_deep","Acidobacteriota",13.1382376312378
"172","peat_deep","Actinobacteriota",9.14902969136503
"173","peat_deep","Planctomycetota",7.48283381336177
"174","peat_deep","Verrucomicrobiota",5.60174710992959
"175","peat_deep","Bacteroidota",4.21386653009395
"176","peat_deep","Crenarchaeota",4.10622312214722
"177","peat_deep","Desulfobacterota",3.06991607642088
"178","peat_deep","Myxococcota",2.13927248631853
"179","peat_deep","Nitrospirota",1.73740816321143
"180","peat_deep","Unassigned",1.4039181936499
"181","peat_deep","Firmicutes",1.33184792910187
"182","peat_deep","Methylomirabilota",1.29950870783032
"183","peat_deep","Spirochaetota",1.15886609450444
"184","peat_deep","Latescibacterota",0.814684382400072
"185","peat_deep","Patescibacteria",0.798580770175054
"186","peat_deep","Sva0485",0.7861730689525
"187","peat_deep","Gemmatimonadota",0.752249885822749
"188","peat_deep","MBNT15",0.605139428242568
"189","peat_deep","Euryarchaeota",0.474066584476646
"190","peat_deep","Thermoplasmatota",0.451495127997318
"191","peat_deep","Armatimonadota",0.399224386676769
"192","peat_deep","Halobacterota",0.328540088754663
"193","peat_deep","Nanoarchaeota",0.308344575062632
"194","peat_deep","Elusimicrobiota",0.270923476162694
"195","peat_deep","Fibrobacterota",0.222216649023092
"196","peat_deep","Zixibacteria",0.200239178240588
"197","peat_deep","RCP2-54",0.185389535819977
"198","peat_deep","WPS-2",0.178261707458084
"199","peat_deep","Bdellovibrionota",0.17766772176126
"200","peat_deep","FCPU426",0.173707817115764
"201","peat_deep","Cyanobacteria",0.1532483097807
"202","peat_deep","NB1-j",0.1113393189492
"203","peat_deep","Sumerlaeota",0.097677647922238
"204","peat_deep","Dependentiae",0.0797920786067471
"205","peat_deep","Micrarchaeota",0.0741822136922943
"206","peat_deep","WOR-1",0.0703543058683147
"207","peat_deep","Altiarchaeota",0.0547126825186049
"208","peat_deep","Hydrogenedentes",0.05299672383889
"209","peat_deep","WS1",0.0485748303180859
"210","peat_deep","TA06",0.0479808446212615
"211","peat_deep","Aenigmarchaeota",0.047122865281404
"212","peat_deep","Modulibacteria",0.0466608764060961
"213","peat_deep","Nitrospinota",0.0458028970662386
"214","peat_deep","WS2",0.0440869383865237
"215","peat_deep","Caldatribacteriota",0.0438229447434906
"216","peat_deep","Asgardarchaeota",0.0430969622251496
"217","peat_deep","Dadabacteria",0.032141226039277
"218","peat_deep","Hadarchaeota",0.0258053786064832
"219","peat_deep","WS4",0.0142556567237861
"220","peat_deep","Campylobacterota",0.0125396980440711
"221","peat_deep","GAL15",0.0117477171149719
"222","peat_deep","Entotheonellaeota",0.0113517266504223
"223","peat_deep","Edwardsbacteria",0.00897578386312458
"224","peat_deep","SAR324 clade(Marine group B)",0.00811780452326708
"225","peat_deep","Calditrichota",0.00646784425431036
"226","peat_deep","Firestonebacteria",0.00554386650369459
"227","peat_deep","Schekmanbacteria",0.00534587127141978
"228","peat_deep","Cloacimonadota",0.00527987286066151
"229","peat_deep","Desantisbacteria",0.0029699284841221
"230","peat_deep","Fermentibacterota",0.0027719332518473
"231","peat_deep","Caldisericota",0.00230994437653941
"232","peat_deep","CK-2C2-2",0.00211194914426461
"233","peat_deep","LCP-89",0.00178195709047326
