"","sample_comparison","comm"
"554","sediment",0.233185584891116
"555","peat-sediment",0.0165735209096165
"556","peat-sediment",0.0661977259587589
"557","peat-sediment",0.0785315089612643
"558","sediment",0.043746386587011
"559","peat-sediment",0.0311235305453844
"560","peat-sediment",0.0448063210637888
"561","peat-sediment",0.0587781846213143
"562","sediment",0.0389285026016574
"563","peat-sediment",0.0839275390248603
"564","sediment",0.222682597803045
"565","peat-sediment",0.00587781846213142
"566","sediment",0.0122374253227983
"567","peat-sediment",0.0449026787434958
"568","peat-sediment",0.0217768356137984
"569","sediment",0.24918095972249
"570","peat-sediment",0.0298708807091925
"571","peat-sediment",0.0632106378878396
"572","sediment",0.12410869146271
"573","peat-sediment",0.0543457313547889
"574","peat-sediment",0.0745808440932743
"575","sediment",0.0525149354403546
"576","sediment",0.0029870880709193
"577","peat-sediment",0.0535748699171325
"578","sediment",0.0214877625746772
"579","sediment",0.243688571979187
"580","sediment",0.28242435922143
"581","peat-sediment",0.0459626132202736
"582","sediment",0.0880709192522644
"583","peat-sediment",0.0638851416457892
"584","sediment",0.0425900944305261
"585","peat-sediment",0.0282328001541723
"586","peat-sediment",0.0685103102717286
"587","sediment",0.035845056851031
"588","soil-sediment",0.0279437271150511
"589","sediment",0.257467720177298
"590","peat-sediment",0.000867219117363649
"591","soil-sediment",0.0285218731932935
"592","sediment",0.251975332433995
"593","peat-sediment",0.0659086529196377
"594","sediment",0.0218731932935055
"595","peat-sediment",0.0626324918095972
"596","sediment",0.160724609751397
"597","soil-sediment",0.0164771632299094
"598","peat-sediment",0.0180188861052226
"599","sediment",0.071690113702062
"600","sediment",0.0402775101175563
"601","sediment",0.0969358257853151
"602","peat-sediment",0.0394102910001927
"603","peat-sediment",0.0347851223742532
"604","peat-sediment",0.045191751782617
"605","peat-sediment",0.0532857968780112
"606","peat-sediment",0.0186933898631721
"607","peat-sediment",0.0378685681248796
"608","sediment",0.25081904027751
"609","sediment",0.0290036615918289
"610","soil-sediment",0.0206205434573136
"611","peat-sediment",0.0391212179610715
"612","soil-sediment",0.0164771632299094
"613","sediment",0.0399884370784351
"614","peat-sediment",0.0379649258045867
"615","sediment",0.175370977066872
"616","peat-sediment",0.0735209096164965
"617","sediment",0.107342455193679
"618","peat-sediment",0.0374831374060512
"619","sediment",0.0692811717093852
"620","peat-sediment",0.0396030063596069
"621","soil-sediment",0.0208132588167277
"622","sediment",0.0575255347851223
"623","sediment",0.037097706687223
"624","peat-sediment",0.0495278473694354
"625","soil-sediment",0.0100211986895355
"626","soil-sediment",0.0185006745037579
"627","peat-sediment",0.0573328194257082
"628","peat-sediment",0.0324725380612835
"629","sediment",0.125843129697437
"630","sediment",0.0600308344575062
"631","sediment",0.121410676430912
"632","sediment",0.0708228945846984
"633","sediment",0.192137213335903
"634","sediment",0.216708421661206
"635","peat-sediment",0.0506841395259202
"636","peat-sediment",0.0971285411447292
"637","peat-sediment",0.0287145885527077
"638","soil-sediment",0.0164771632299094
"639","soil-sediment",0.0102139140489497
"640","sediment",0.308633648101754
"641","peat-sediment",0.0334361148583542
"642","peat-sediment",0.0403738677972635
"643","soil-sediment",0.0180188861052226
"644","sediment",0.300443245326653
"645","soil-sediment",0.0163808055502024
"646","soil-sediment",0.0233185584891116
"647","sediment",0.0599344767777992
"648","sediment",0.0523222200809405
"649","soil-sediment",0.00819040277510119
"650","peat-sediment",0.0286182308730005
"651","peat-sediment",0.0598381190980921
"652","peat-sediment",0.0342069762960108
"653","sediment",0.155714010406629
"654","sediment",0.21429947966853
"655","peat-sediment",0.0335324725380612
"656","sediment",0.0165735209096165
"657","sediment",0.238581614954712
"658","sediment",0.250337251878975
"659","peat-sediment",0.00115629215648483
"660","sediment",0.122856041626518
"661","soil-sediment",0.0165735209096165
"662","soil-sediment",0.0219695509732125
"663","soil-sediment",0.0147427249951821
"664","peat-sediment",0.022547697051455
"665","sediment",0.177009057621892
"666","sediment",0.141356716130276
"667","peat-sediment",0.029196376951243
"668","peat-sediment",0.0476970514550009
"669","soil-sediment",0.00925033725187896
"670","soil-sediment",0.0142609365966467
"671","soil-sediment",0.0113702062054346
"672","peat-sediment",0.0675467334746579
"673","sediment",0.153015995374831
"674","sediment",0.0764116400077086
"675","peat-sediment",0.0374831374060512
"676","soil-sediment",0.0141645789169397
"677","sediment",0.0705338215455772
"678","soil-sediment",0.0328579687801118
"679","soil-sediment",0.0167662362690306
"680","peat-sediment",0.053093081518597
"681","sediment",0.0350741954133744
"682","sediment",0.0288109462324148
"683","sediment",0.0678358065137792
"684","peat-sediment",0.107342455193679
"685","peat-sediment",0.0812295239930623
"686","peat-sediment",0.0704374638658701
"687","sediment",0.0678358065137792
"688","sediment",0.217768356137984
"689","peat-sediment",0.0131046444401619
"690","peat-sediment",0.0529003661591829
"691","peat-sediment",0.0887454230102139
"692","sediment",0.0653305068413953
"693","peat-sediment",0.106571593756022
"694","peat-sediment",0.0392175756407785
"695","sediment",0.0594526883792639
"696","sediment",0.369917132395452
"697","peat-sediment",0.0698593177876277
"698","peat-sediment",0.0751589901715166
"699","peat-sediment",0.0104066294083639
"700","peat-sediment",0.0131046444401619
"701","sediment",0.217382925419156
"702","soil-sediment",0.0224513393717479
"703","sediment",0.0395066486798998
"704","peat-sediment",0.0372904220466371
"705","peat-sediment",0.0307380998265562
"706","sediment",0.135189824629023
"707","peat-sediment",0.0447099633840817
"708","soil-sediment",0.0230294854499904
"709","peat-sediment",0.042397379071112
"710","sediment",0.190884563499711
"711","sediment",0.158604740797842
"712","soil-sediment",0.0314126035845057
"713","soil-sediment",0.0169589516284447
"714","peat-sediment",0.0573328194257082
"715","peat-sediment",0.0342069762960108
"716","soil-sediment",0.022644054731162
"717","sediment",0.181634226247832
"718","sediment",0.230969358257853
"719","sediment",0.0624397764501831
"720","sediment",0.249084602042783
"721","sediment",0.0388321449219503
"722","sediment",0.154654075929852
"723","peat-sediment",0.0279437271150511
"724","sediment",0.0920215841202544
"725","peat-sediment",0.0388321449219503
"726","soil-sediment",0.00770861437656578
"727","peat-sediment",0.0117556369242628
"728","soil-sediment",0.0203314704181923
"729","peat-sediment",0.0590672576604355
"730","peat-sediment",0.0598381190980921
"731","sediment",0.22316438620158
"732","sediment",0.0968394681056081
"733","peat-sediment",0.0605126228560416
"734","sediment",0.266910772788591
"735","sediment",0.0162844478704953
"736","peat-sediment",0.0541530159953748
"737","peat-sediment",0.0111774908460204
"738","peat-sediment",0.0505877818462132
"739","sediment",0.224609751397186
"740","peat-sediment",0.0299672383888996
"741","sediment",0.0854692619001735
"742","soil-sediment",0.0237039892079399
"743","peat-sediment",0.0699556754673347
"744","peat-sediment",0.0951050298708808
"745","peat-sediment",0.058392753902486
"746","peat-sediment",0.0432645981884756
"747","peat-sediment",0.0295818076700713
"748","peat-sediment",0.0430718828290615
"749","soil-sediment",0.0137791481981114
"750","peat-sediment",0.0294854499903643
"751","peat-sediment",0.0700520331470418
"752","sediment",0.0526112931200616
"753","soil-sediment",0.0151281557140104
"754","sediment",0.0162844478704953
"755","peat-sediment",0.0412410869146271
