Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),,sample_id,,,Tann,Tmin,Tmax,MAP
SNOTEL.IOANA,-106.9301,41.1599,2852,Annual,1042.86,-3.9,2.2,8.3,,SNOTEL.IOANA_H6,0,,2.2,-3.9,8.3,1042.86
SM1A,-106.0287,41.1853,2815,Annual,547.03,-4.2,2.3,8.8,,SM1A,1,,2.3,-4.2,8.8,547.03
SM1B,-106.0287,41.1853,2815,Annual,547.03,-4.2,2.3,8.8,,SM1B,1,,2.3,-4.2,8.8,547.03
SM2B,-106.0287,41.1853,2815,Annual,547.03,-4.2,2.3,8.8,,SM2B,1,,2.3,-4.2,8.8,547.03
SM3B,-106.0287,41.1853,2815,Annual,547.03,-4.2,2.3,8.8,,SM3B,1,,2.3,-4.2,8.8,547.03
SM4A,-106.0287,41.1853,2815,Annual,547.03,-4.2,2.3,8.8,,SM4A,1,,2.3,-4.2,8.8,547.03
SM4B,-106.0287,41.1853,2815,Annual,547.03,-4.2,2.3,8.8,,SM4B,1,,2.3,-4.2,8.8,547.03
RR2A,-106.2694,41.2291,2918,Annual,881.88,-5.1,1.4,7.9,,RR2A,1,,1.4,-5.1,7.9,881.88
RR2B,-106.2694,41.2291,2918,Annual,881.88,-5.1,1.4,7.9,,RR2B,1,,1.4,-5.1,7.9,881.88
RR3A,-106.2694,41.2291,2918,Annual,881.88,-5.1,1.4,7.9,,RR3A,1,,1.4,-5.1,7.9,881.88
RR3B,-106.2694,41.2291,2918,Annual,881.88,-5.1,1.4,7.9,,RR3B,1,,1.4,-5.1,7.9,881.88
RR4B,-106.2694,41.2291,2918,Annual,881.88,-5.1,1.4,7.9,,RR4B,1,,1.4,-5.1,7.9,881.88
SNOTEL.IOANA,-105.3803,41.2294,2548,Annual,556.56,-1.5,4.5,10.4,,SNOTEL.IOANA_B3,0,,4.5,-1.5,10.4,556.56
TF1A,-106.2829,41.2363,2960,Annual,918.33,-5.2,1.2,7.6,,TF1A,1,,1.2,-5.2,7.6,918.33
TF1B,-106.2829,41.2363,2960,Annual,918.33,-5.2,1.2,7.6,,TF1B,1,,1.2,-5.2,7.6,918.33
TF2B,-106.2829,41.2363,2960,Annual,918.33,-5.2,1.2,7.6,,TF2B,1,,1.2,-5.2,7.6,918.33
TF3A,-106.2829,41.2363,2960,Annual,918.33,-5.2,1.2,7.6,,TF3A,1,,1.2,-5.2,7.6,918.33
TF3B,-106.2829,41.2363,2960,Annual,918.33,-5.2,1.2,7.6,,TF3B,1,,1.2,-5.2,7.6,918.33
TF4A,-106.2829,41.2363,2960,Annual,918.33,-5.2,1.2,7.6,,TF4A,1,,1.2,-5.2,7.6,918.33
TF4B,-106.2829,41.2363,2960,Annual,918.33,-5.2,1.2,7.6,,TF4B,1,,1.2,-5.2,7.6,918.33
SNOTEL.IOANA,-106.2293,41.2403,2958,Annual,902.01,-5.1,1.3,7.6,,SNOTEL.IOANA_B4,0,,1.3,-5.1,7.6,902.01
SNOTEL.IOANA,-106.2293,41.2403,2958,Annual,902.01,-5.1,1.3,7.6,,SNOTEL.IOANA_F4,0,,1.3,-5.1,7.6,902.01
SNOTEL.IOANA,-106.2293,41.2403,2958,Annual,902.01,-5.1,1.3,7.6,,SNOTEL.IOANA_H4,0,,1.3,-5.1,7.6,902.01
Calder.SV020,-106.356,41.308,3186,Annual,1150.79,-6.1,-0.2,5.7,,Calder.SV0200L,0,,-0.2,-6.1,5.7,1150.79
Calder.SV020,-106.356,41.308,3186,Annual,1150.79,-6.1,-0.2,5.7,,Calder.SV0202L,0,,-0.2,-6.1,5.7,1150.79
Calder.SV020,-106.356,41.308,3186,Annual,1150.79,-6.1,-0.2,5.7,,Calder.SV0204L,0,,-0.2,-6.1,5.7,1150.79
Calder.SV021,-106.356,41.308,3186,Annual,1150.79,-6.1,-0.2,5.7,,Calder.SV0216L,0,,-0.2,-6.1,5.7,1150.79
Calder.SV021,-106.356,41.308,3186,Annual,1150.79,-6.1,-0.2,5.7,,Calder.SV0218L,0,,-0.2,-6.1,5.7,1150.79
Calder.SV022,-106.356,41.308,3186,Annual,1150.79,-6.1,-0.2,5.7,,Calder.SV0220L,0,,-0.2,-6.1,5.7,1150.79
Calder.SV030,-106.356,41.308,3186,Annual,1150.79,-6.1,-0.2,5.7,,Calder.SV0300L,0,,-0.2,-6.1,5.7,1150.79
Calder.SV030,-106.356,41.308,3186,Annual,1150.79,-6.1,-0.2,5.7,,Calder.SV0302L,0,,-0.2,-6.1,5.7,1150.79
Calder.SV030,-106.356,41.308,3186,Annual,1150.79,-6.1,-0.2,5.7,,Calder.SV0304L,0,,-0.2,-6.1,5.7,1150.79
Calder.SV031,-106.356,41.308,3186,Annual,1150.79,-6.1,-0.2,5.7,,Calder.SV0316L,0,,-0.2,-6.1,5.7,1150.79
Calder.SV031,-106.356,41.308,3186,Annual,1150.79,-6.1,-0.2,5.7,,Calder.SV0318L,0,,-0.2,-6.1,5.7,1150.79
Calder.SV032,-106.356,41.308,3186,Annual,1150.79,-6.1,-0.2,5.7,,Calder.SV0320L,0,,-0.2,-6.1,5.7,1150.79
Calder.SV040,-106.356,41.308,3186,Annual,1150.79,-6.1,-0.2,5.7,,Calder.SV0400L,0,,-0.2,-6.1,5.7,1150.79
Calder.SV040,-106.356,41.308,3186,Annual,1150.79,-6.1,-0.2,5.7,,Calder.SV0402L,0,,-0.2,-6.1,5.7,1150.79
Calder.SV041,-106.356,41.308,3186,Annual,1150.79,-6.1,-0.2,5.7,,Calder.SV0416L,0,,-0.2,-6.1,5.7,1150.79
Calder.SV042,-106.356,41.308,3186,Annual,1150.79,-6.1,-0.2,5.7,,Calder.SV0420L,0,,-0.2,-6.1,5.7,1150.79
LI1A,-106.2785,41.321,3183,Annual,1009.6,-6,-0.1,5.8,,LI1A,1,,-0.1,-6,5.8,1009.6
LI1B,-106.2785,41.321,3183,Annual,1009.6,-6,-0.1,5.8,,LI1B,1,,-0.1,-6,5.8,1009.6
LI2A,-106.2785,41.321,3183,Annual,1009.6,-6,-0.1,5.8,,LI2A,1,,-0.1,-6,5.8,1009.6
LI2B,-106.2785,41.321,3183,Annual,1009.6,-6,-0.1,5.8,,LI2B,1,,-0.1,-6,5.8,1009.6
LI3A,-106.2785,41.321,3183,Annual,1009.6,-6,-0.1,5.8,,LI3A,1,,-0.1,-6,5.8,1009.6
LI3B,-106.2785,41.321,3183,Annual,1009.6,-6,-0.1,5.8,,LI3B,1,,-0.1,-6,5.8,1009.6
LI4A,-106.2785,41.321,3183,Annual,1009.6,-6,-0.1,5.8,,LI4A,1,,-0.1,-6,5.8,1009.6
LI4B,-106.2785,41.321,3183,Annual,1009.6,-6,-0.1,5.8,,LI4B,1,,-0.1,-6,5.8,1009.6
MP1A,-106.3256,41.3233,3219,Annual,1160.76,-6.4,-0.5,5.4,,MP1A,1,,-0.5,-6.4,5.4,1160.76
MP1B,-106.3256,41.3233,3219,Annual,1160.76,-6.4,-0.5,5.4,,MP1B,1,,-0.5,-6.4,5.4,1160.76
