"","sample_id","sample_type","sample_number","site_name","mountain_range","latitude","longitude","elevation","notes","depth_start","depth_end","top_bottom","measured_temperature","temperature_type","Tann","Tmin","Tmax","MAP","climate_data_source","Tann_snotel","Tmin_snotel","Tmax_snotel","MAP_snotel"
"MAWC.CP2B","MAWC.CP2B","peat",37,"Cottonwood Pass",NA,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",21,23,NA,"15.8","system water temperature",1,-6.4,8.4,655.69,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CP3A","MAWC.CP3A","peat",38,"Cottonwood Pass",NA,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",3,5,NA,"15.8","system water temperature",1,-6.4,8.4,655.69,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CP3B","MAWC.CP3B","peat",39,"Cottonwood Pass",NA,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",21,23,NA,"15.8","system water temperature",1,-6.4,8.4,655.69,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CP4A","MAWC.CP4A","peat",40,"Cottonwood Pass",NA,38.843579,-106.44856,3254,"maybe check out one of the sites i didnt have time to access, one was really good",3,5,NA,"15.8","system water temperature",1,-6.4,8.4,655.69,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CR2B","MAWC.CR2B","peat",41,"Crane Lake fen",NA,38.978376,-108.113461,3094,"",5,7,NA,"14.7","system water temperature",2.3,-3.9,8.5,861.5,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CR3B","MAWC.CR3B","peat",42,"Crane Lake fen",NA,38.978376,-108.113461,3094,"",5,7,NA,"14.7","system water temperature",2.3,-3.9,8.5,861.5,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CR4B","MAWC.CR4B","peat",43,"Crane Lake fen",NA,38.978376,-108.113461,3094,"",5,7,NA,"14.7","system water temperature",2.3,-3.9,8.5,861.5,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CU1A","MAWC.CU1A","peat",44,"Copper Creek",NA,44.713848,-107.457898,2543,"",3,5,NA,"14.9","system water temperature",1.3,-4.9,7.6,643.22,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CU1B","MAWC.CU1B","peat",45,"Copper Creek",NA,44.713848,-107.457898,2543,"",49,51,NA,"14.9","system water temperature",1.3,-4.9,7.6,643.22,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CU2A","MAWC.CU2A","peat",46,"Copper Creek",NA,44.713848,-107.457898,2543,"",3,5,NA,"14.9","system water temperature",1.3,-4.9,7.6,643.22,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CU2B","MAWC.CU2B","peat",47,"Copper Creek",NA,44.713848,-107.457898,2543,"",21,23,NA,"14.9","system water temperature",1.3,-4.9,7.6,643.22,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CU3A","MAWC.CU3A","peat",48,"Copper Creek",NA,44.713848,-107.457898,2543,"",3,5,NA,"14.9","system water temperature",1.3,-4.9,7.6,643.22,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CU3B","MAWC.CU3B","peat",49,"Copper Creek",NA,44.713848,-107.457898,2543,"",19,21,NA,"14.9","system water temperature",1.3,-4.9,7.6,643.22,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CU4A","MAWC.CU4A","peat",50,"Copper Creek",NA,44.713848,-107.457898,2543,"",3,5,NA,"14.9","system water temperature",1.3,-4.9,7.6,643.22,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.CU4B","MAWC.CU4B","peat",51,"Copper Creek",NA,44.713848,-107.457898,2543,"",11,13,NA,"14.9","system water temperature",1.3,-4.9,7.6,643.22,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FB1A","MAWC.FB1A","peat",52,"Firebox Lake",NA,41.442108,-106.191106,2928,"",3,5,NA,"16.7","system water temperature",1.3,-4.8,7.5,836.06,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FB1B","MAWC.FB1B","peat",53,"Firebox Lake",NA,41.442108,-106.191106,2928,"",12,14,NA,"16.7","system water temperature",1.3,-4.8,7.5,836.06,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FB2A","MAWC.FB2A","peat",54,"Firebox Lake",NA,41.442108,-106.191106,2928,"",3,5,NA,"16.7","system water temperature",1.3,-4.8,7.5,836.06,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FB2B","MAWC.FB2B","peat",55,"Firebox Lake",NA,41.442108,-106.191106,2928,"",12,14,NA,"16.7","system water temperature",1.3,-4.8,7.5,836.06,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FB3B","MAWC.FB3B","peat",56,"Firebox Lake",NA,41.442108,-106.191106,2928,"",5,7,NA,"16.7","system water temperature",1.3,-4.8,7.5,836.06,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FB4B","MAWC.FB4B","peat",57,"Firebox Lake",NA,41.442108,-106.191106,2928,"",3,5,NA,"16.7","system water temperature",1.3,-4.8,7.5,836.06,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FR2B","MAWC.FR2B","peat",58,"French Creek Swamp Complex",NA,44.354758,-106.9892922,2481,"",5,7,NA,"6","system water temperature",2.5,-3.5,8.5,569.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FR3A","MAWC.FR3A","peat",59,"French Creek Swamp Complex",NA,44.354758,-106.9892922,2481,"",3,5,NA,"6","system water temperature",2.5,-3.5,8.5,569.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FR3B","MAWC.FR3B","peat",60,"French Creek Swamp Complex",NA,44.354758,-106.9892922,2481,"",5,7,NA,"6","system water temperature",2.5,-3.5,8.5,569.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FR4A","MAWC.FR4A","peat",61,"French Creek Swamp Complex",NA,44.354758,-106.9892922,2481,"",3,5,NA,"6","system water temperature",2.5,-3.5,8.5,569.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.FR4B","MAWC.FR4B","peat",62,"French Creek Swamp Complex",NA,44.354758,-106.9892922,2481,"",5,7,NA,"6","system water temperature",2.5,-3.5,8.5,569.85,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG1A","MAWC.GG1A","peat",63,"Galloping Goose",NA,37.813727,-107.894925,3081,"add the hike up site",3,5,NA,"13.8","system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG1B","MAWC.GG1B","peat",64,"Galloping Goose",NA,37.813727,-107.894925,3081,"add the hike up site",15,17,NA,"13.8","system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG2A","MAWC.GG2A","peat",65,"Galloping Goose",NA,37.813727,-107.894925,3081,"add the hike up site",3,5,NA,"13.8","system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.GG2B","MAWC.GG2B","peat",66,"Galloping Goose",NA,37.813727,-107.894925,3081,"add the hike up site",69,71,NA,"13.8","system water temperature",2.4,-5.6,10.4,765.65,"PRISM 1991-2020 800-m",NA,NA,NA,NA
