"","sample_id","sample_type","sample_number","site_name","mountain_range","latitude","longitude","elevation","notes","depth_start","depth_end","top_bottom","measured_temperature","temperature_type","Tann","Tmin","Tmax","MAP","climate_data_source","Tann_snotel","Tmin_snotel","Tmax_snotel","MAP_snotel"
"MAWC.ML5A_J","MAWC.ML5A_J","peat",220,"Mountain Lake",NA,44.926738,-109.529047,2949,"maybe add clay butte fen? check out upper/lower fens at mountain lake",3,5,NA,"12.15","system water temperature",-0.4,-6.2,5.5,970.68,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.ML5B_J","MAWC.ML5B_J","peat",221,"Mountain Lake",NA,44.926738,-109.529047,2949,"maybe add clay butte fen? check out upper/lower fens at mountain lake",50,52,NA,"12.15","system water temperature",-0.4,-6.2,5.5,970.68,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.MP1A","MAWC.MP1A","peat",222,"Medicine Bow Pass fen",NA,41.323336,-106.325568,3196,"",3,5,NA,"10","system water temperature",-0.5,-6.4,5.4,1160.76,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.MP1B","MAWC.MP1B","peat",223,"Medicine Bow Pass fen",NA,41.323336,-106.325568,3196,"",19,21,NA,"10","system water temperature",-0.5,-6.4,5.4,1160.76,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.MP2A","MAWC.MP2A","peat",224,"Medicine Bow Pass fen",NA,41.323336,-106.325568,3196,"",3,5,NA,"10","system water temperature",-0.5,-6.4,5.4,1160.76,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.MP2B","MAWC.MP2B","peat",225,"Medicine Bow Pass fen",NA,41.323336,-106.325568,3196,"",5,7,NA,"10","system water temperature",-0.5,-6.4,5.4,1160.76,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.MP3A","MAWC.MP3A","peat",226,"Medicine Bow Pass fen",NA,41.323336,-106.325568,3196,"",3,5,NA,"10","system water temperature",-0.5,-6.4,5.4,1160.76,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.MP3B","MAWC.MP3B","peat",227,"Medicine Bow Pass fen",NA,41.323336,-106.325568,3196,"",17,19,NA,"10","system water temperature",-0.5,-6.4,5.4,1160.76,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.MP4A","MAWC.MP4A","peat",228,"Medicine Bow Pass fen",NA,41.323336,-106.325568,3196,"",3,5,NA,"10","system water temperature",-0.5,-6.4,5.4,1160.76,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.MP4B","MAWC.MP4B","peat",229,"Medicine Bow Pass fen",NA,41.323336,-106.325568,3196,"",5,7,NA,"10","system water temperature",-0.5,-6.4,5.4,1160.76,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.NF1A","MAWC.NF1A","peat",230,"North Fork Rock Creek",NA,41.459646,-106.232139,2965,"",3,5,NA,"6.39","system water temperature",0.9,-5.1,6.9,957.82,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.NF1B","MAWC.NF1B","peat",231,"North Fork Rock Creek",NA,41.459646,-106.232139,2965,"",13,15,NA,"6.39","system water temperature",0.9,-5.1,6.9,957.82,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.NF2A","MAWC.NF2A","peat",232,"North Fork Rock Creek",NA,41.459646,-106.232139,2965,"",3,5,NA,"6.39","system water temperature",0.9,-5.1,6.9,957.82,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.NF2B","MAWC.NF2B","peat",233,"North Fork Rock Creek",NA,41.459646,-106.232139,2965,"",12,14,NA,"6.39","system water temperature",0.9,-5.1,6.9,957.82,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.NF3A","MAWC.NF3A","peat",234,"North Fork Rock Creek",NA,41.459646,-106.232139,2965,"",3,5,NA,"6.39","system water temperature",0.9,-5.1,6.9,957.82,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.NF3B","MAWC.NF3B","peat",235,"North Fork Rock Creek",NA,41.459646,-106.232139,2965,"",13,15,NA,"6.39","system water temperature",0.9,-5.1,6.9,957.82,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.NF4A","MAWC.NF4A","peat",236,"North Fork Rock Creek",NA,41.459646,-106.232139,2965,"",3,5,NA,"6.39","system water temperature",0.9,-5.1,6.9,957.82,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.NF4B","MAWC.NF4B","peat",237,"North Fork Rock Creek",NA,41.459646,-106.232139,2965,"",10,12,NA,"6.39","system water temperature",0.9,-5.1,6.9,957.82,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.PC1A","MAWC.PC1A","peat",238,"Pole Creek",NA,44.169988,-106.912431,2353,"",3,5,NA,"13.64","system water temperature",3.4,-2.7,9.4,504.93,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.PC1B","MAWC.PC1B","peat",239,"Pole Creek",NA,44.169988,-106.912431,2353,"",20,22,NA,"13.64","system water temperature",3.4,-2.7,9.4,505,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.PC2A","MAWC.PC2A","peat",240,"Pole Creek",NA,44.169988,-106.912431,2353,"",3,5,NA,"13.64","system water temperature",3.4,-2.7,9.4,505,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.PC2B","MAWC.PC2B","peat",241,"Pole Creek",NA,44.169988,-106.912431,2353,"",20,22,NA,"13.64","system water temperature",3.4,-2.7,9.4,505,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.PC3A","MAWC.PC3A","peat",242,"Pole Creek",NA,44.169988,-106.912431,2353,"",3,5,NA,"13.64","system water temperature",3.4,-2.7,9.4,505,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.PC3B","MAWC.PC3B","peat",243,"Pole Creek",NA,44.169988,-106.912431,2353,"",20,22,NA,"13.64","system water temperature",3.4,-2.7,9.4,505,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.PC4A","MAWC.PC4A","peat",244,"Pole Creek",NA,44.169988,-106.912431,2353,"",3,5,NA,"13.64","system water temperature",3.4,-2.7,9.4,505,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.PC4B","MAWC.PC4B","peat",245,"Pole Creek",NA,44.169988,-106.912431,2353,"",14,16,NA,"13.64","system water temperature",3.4,-2.7,9.4,505,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RC1A","MAWC.RC1A","peat",246,"Ranger Creek",NA,44.611622,-107.265996,2507,"",3,5,NA,"10.83","system water temperature",2.1,-3.9,8.1,660,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RC1B","MAWC.RC1B","peat",247,"Ranger Creek",NA,44.611622,-107.265996,2507,"",6,8,NA,"10.83","system water temperature",2.1,-3.9,8.1,660,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RC2A","MAWC.RC2A","peat",248,"Ranger Creek",NA,44.611622,-107.265996,2507,"",3,5,NA,"10.83","system water temperature",2.1,-3.9,8.1,660,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RC2B","MAWC.RC2B","peat",249,"Ranger Creek",NA,44.611622,-107.265996,2507,"",10,12,NA,"10.83","system water temperature",2.1,-3.9,8.1,660,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RC3A","MAWC.RC3A","peat",250,"Ranger Creek",NA,44.611622,-107.265996,2507,"",3,5,NA,"10.83","system water temperature",2.1,-3.9,8.1,660,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RC3B","MAWC.RC3B","peat",251,"Ranger Creek",NA,44.611622,-107.265996,2507,"",15,17,NA,"10.83","system water temperature",2.1,-3.9,8.1,660,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RC4A","MAWC.RC4A","peat",252,"Ranger Creek",NA,44.611622,-107.265996,2507,"",3,5,NA,"10.83","system water temperature",2.1,-3.9,8.1,660,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RC4B","MAWC.RC4B","peat",253,"Ranger Creek",NA,44.611622,-107.265996,2507,"",52,54,NA,"10.83","system water temperature",2.1,-3.9,8.1,660,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RM1A","MAWC.RM1A","peat",254,"Red Mountain",NA,37.902285,-107.709179,3355,"",3,5,NA,"10.92","system water temperature",1.5,-5.3,8.3,1037,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RM1B","MAWC.RM1B","peat",255,"Red Mountain",NA,37.902285,-107.709179,3355,"",18,20,NA,"10.92","system water temperature",1.5,-5.3,8.3,1037,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RM2A","MAWC.RM2A","peat",256,"Red Mountain",NA,37.902285,-107.709179,3355,"",3,5,NA,"10.92","system water temperature",1.5,-5.3,8.3,1037,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RM2B","MAWC.RM2B","peat",257,"Red Mountain",NA,37.902285,-107.709179,3355,"",12,14,NA,"10.92","system water temperature",1.5,-5.3,8.3,1037,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RM3A","MAWC.RM3A","peat",258,"Red Mountain",NA,37.902285,-107.709179,3355,"",3,5,NA,"10.92","system water temperature",1.5,-5.3,8.3,1037,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RM3B","MAWC.RM3B","peat",259,"Red Mountain",NA,37.902285,-107.709179,3355,"",23,25,NA,"10.92","system water temperature",1.5,-5.3,8.3,1037,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RM4A","MAWC.RM4A","peat",260,"Red Mountain",NA,37.902285,-107.709179,3355,"",3,5,NA,"10.92","system water temperature",1.5,-5.3,8.3,1037,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RM4B","MAWC.RM4B","peat",261,"Red Mountain",NA,37.902285,-107.709179,3355,"",29,31,NA,"10.92","system water temperature",1.5,-5.3,8.3,1037,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RR2A","MAWC.RR2A","peat",262,"Rob Roy Reservoir",NA,41.229141,-106.269398,2916,"",3,5,NA,"11.88","system water temperature",1.4,-5.1,7.9,882,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RR2B","MAWC.RR2B","peat",263,"Rob Roy Reservoir",NA,41.229141,-106.269398,2916,"",19,21,NA,"11.88","system water temperature",1.4,-5.1,7.9,882,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RR3A","MAWC.RR3A","peat",264,"Rob Roy Reservoir",NA,41.229141,-106.269398,2916,"",3,5,NA,"11.88","system water temperature",1.4,-5.1,7.9,882,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RR3B","MAWC.RR3B","peat",265,"Rob Roy Reservoir",NA,41.229141,-106.269398,2916,"",11,13,NA,"11.88","system water temperature",1.4,-5.1,7.9,882,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.RR4B","MAWC.RR4B","peat",266,"Rob Roy Reservoir",NA,41.229141,-106.269398,2916,"",5,7,NA,"11.88","system water temperature",1.4,-5.1,7.9,882,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.SG1A","MAWC.SG1A","peat",267,"Slumgullion",NA,37.988019,-107.252273,3104,"see about alt route for driving here",3,5,NA,"6.2","system water temperature",2.2,-5.2,9.5,530,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.SG1B","MAWC.SG1B","peat",268,"Slumgullion",NA,37.988019,-107.252273,3104,"see about alt route for driving here",21,23,NA,"6.2","system water temperature",2.2,-5.2,9.5,530,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.SG2A","MAWC.SG2A","peat",269,"Slumgullion",NA,37.988019,-107.252273,3104,"see about alt route for driving here",3,5,NA,"6.2","system water temperature",2.2,-5.2,9.5,530,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.SG2B","MAWC.SG2B","peat",270,"Slumgullion",NA,37.988019,-107.252273,3104,"see about alt route for driving here",20,22,NA,"6.2","system water temperature",2.2,-5.2,9.5,530,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.SG3A","MAWC.SG3A","peat",271,"Slumgullion",NA,37.988019,-107.252273,3104,"see about alt route for driving here",3,5,NA,"6.2","system water temperature",2.2,-5.2,9.5,530,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.SG3B","MAWC.SG3B","peat",272,"Slumgullion",NA,37.988019,-107.252273,3104,"see about alt route for driving here",22,24,NA,"6.2","system water temperature",2.2,-5.2,9.5,530,"PRISM 1991-2020 800-m",NA,NA,NA,NA
"MAWC.SG4A","MAWC.SG4A","peat",273,"Slumgullion",NA,37.988019,-107.252273,3104,"see about alt route for driving here",3,5,NA,"6.2","system water temperature",2.2,-5.2,9.5,530,"",NA,NA,NA,NA
"MAWC.SG4B","MAWC.SG4B","peat",274,"Slumgullion",NA,37.988019,-107.252273,3104,"see about alt route for driving here",15,17,NA,"6.2","system water temperature",2.2,-5.2,9.5,530,"",NA,NA,NA,NA
"MAWC.SG5A","MAWC.SG5A","peat",275,"Slumgullion",NA,37.988019,-107.252273,3104,"see about alt route for driving here",3,5,NA,"6.2","system water temperature",2.2,-5.2,9.5,530,"",NA,NA,NA,NA
"MAWC.SG5B","MAWC.SG5B","peat",276,"Slumgullion",NA,37.988019,-107.252273,3104,"see about alt route for driving here",17,19,NA,"6.2","system water temperature",2.2,-5.2,9.5,530,"",NA,NA,NA,NA
"MAWC.SK1B","MAWC.SK1B","peat",277,"Skyway Pass fen",NA,39.040479,-108.066716,3226,"",5,7,NA,"11.33","system water temperature",1.2,-4.9,7.3,1002,"",NA,NA,NA,NA
"MAWC.SK2B","MAWC.SK2B","peat",278,"Skyway Pass fen",NA,39.040479,-108.066716,3226,"",5,7,NA,"11.33","system water temperature",1.2,-4.9,7.3,1002,"",NA,NA,NA,NA
"MAWC.SK3B","MAWC.SK3B","peat",279,"Skyway Pass fen",NA,39.040479,-108.066716,3226,"",5,7,NA,"11.33","system water temperature",1.2,-4.9,7.3,1002,"",NA,NA,NA,NA
"MAWC.SK4B","MAWC.SK4B","peat",280,"Skyway Pass fen",NA,39.040479,-108.066716,3226,"",5,7,NA,"11.33","system water temperature",1.2,-4.9,7.3,1002,"",NA,NA,NA,NA
"MAWC.SL1A","MAWC.SL1A","peat",281,"Sand Lake",NA,41.342148,-106.166849,2731,"",3,5,NA,"19.89","system water temperature",2.5,-4.4,9.3,563,"",NA,NA,NA,NA
"MAWC.SL1B","MAWC.SL1B","peat",282,"Sand Lake",NA,41.342148,-106.166849,2731,"",12,14,NA,"19.89","system water temperature",2.5,-4.4,9.3,563,"",NA,NA,NA,NA
"MAWC.SL2A","MAWC.SL2A","peat",283,"Sand Lake",NA,41.342148,-106.166849,2731,"",3,5,NA,"19.89","system water temperature",2.5,-4.4,9.3,563,"",NA,NA,NA,NA
"MAWC.SL2B","MAWC.SL2B","peat",284,"Sand Lake",NA,41.342148,-106.166849,2731,"",12,14,NA,"19.89","system water temperature",2.5,-4.4,9.3,563,"",NA,NA,NA,NA
"MAWC.SL3A","MAWC.SL3A","peat",285,"Sand Lake",NA,41.342148,-106.166849,2731,"",3,5,NA,"19.89","system water temperature",2.5,-4.4,9.3,563,"",NA,NA,NA,NA
"MAWC.SL3B","MAWC.SL3B","peat",286,"Sand Lake",NA,41.342148,-106.166849,2731,"",11,13,NA,"19.89","system water temperature",2.5,-4.4,9.3,563,"",NA,NA,NA,NA
"MAWC.SL4A","MAWC.SL4A","peat",287,"Sand Lake",NA,41.342148,-106.166849,2731,"",3,5,NA,"19.89","system water temperature",2.5,-4.4,9.3,563,"",NA,NA,NA,NA
"MAWC.SL4B","MAWC.SL4B","peat",288,"Sand Lake",NA,41.342148,-106.166849,2731,"",12,14,NA,"19.89","system water temperature",2.5,-4.4,9.3,563,"",NA,NA,NA,NA
"MAWC.SM1A","MAWC.SM1A","peat",289,"Sheep Mountain",NA,41.18532,-106.02869,2785,"",3,5,NA,"13.26","system water temperature",2.3,-4.2,8.8,547,"",NA,NA,NA,NA
"MAWC.SM1B","MAWC.SM1B","peat",290,"Sheep Mountain",NA,41.18532,-106.02869,2785,"",22,24,NA,"13.26","system water temperature",2.3,-4.2,8.8,547,"",NA,NA,NA,NA
"MAWC.SM2B","MAWC.SM2B","peat",291,"Sheep Mountain",NA,41.18532,-106.02869,2785,"",5,7,NA,"13.26","system water temperature",2.3,-4.2,8.8,547,"",NA,NA,NA,NA
"MAWC.SM3B","MAWC.SM3B","peat",292,"Sheep Mountain",NA,41.18532,-106.02869,2785,"",5,7,NA,"13.26","system water temperature",2.3,-4.2,8.8,547,"",NA,NA,NA,NA
"MAWC.SM4A","MAWC.SM4A","peat",293,"Sheep Mountain",NA,41.18532,-106.02869,2785,"",3,5,NA,"13.26","system water temperature",2.3,-4.2,8.8,547,"",NA,NA,NA,NA
"MAWC.SM4B","MAWC.SM4B","peat",294,"Sheep Mountain",NA,41.18532,-106.02869,2785,"",12,14,NA,"13.26","system water temperature",2.3,-4.2,8.8,547,"",NA,NA,NA,NA
"MAWC.SW1A","MAWC.SW1A","peat",295,"Skyway",NA,39.040686,-108.066685,3226,"sample fens on the north side of skyway, see notes in notebook about campground",3,5,NA,"","",1.2,-4.9,7.3,1002,"",NA,NA,NA,NA
"MAWC.SW1B","MAWC.SW1B","peat",296,"Skyway",NA,39.040686,-108.066685,3226,"sample fens on the north side of skyway, see notes in notebook about campground",69,71,NA,"","",1.2,-4.9,7.3,1002,"",NA,NA,NA,NA
"MAWC.TF1A","MAWC.TF1A","peat",297,"Twin fen",NA,41.236335,-106.282863,2963,"",3,5,NA,"15","system water temperature",1.2,-5.2,7.6,918,"",NA,NA,NA,NA
"MAWC.TF1B","MAWC.TF1B","peat",298,"Twin fen",NA,41.236335,-106.282863,2963,"",5,7,NA,"15","system water temperature",1.2,-5.2,7.6,918,"",NA,NA,NA,NA
"MAWC.TF2B","MAWC.TF2B","peat",299,"Twin fen",NA,41.236335,-106.282863,2963,"",5,7,NA,"15","system water temperature",1.2,-5.2,7.6,918,"",NA,NA,NA,NA
"MAWC.TF3A","MAWC.TF3A","peat",300,"Twin fen",NA,41.236335,-106.282863,2963,"",3,5,NA,"15","system water temperature",1.2,-5.2,7.6,918,"",NA,NA,NA,NA
"MAWC.TF3B","MAWC.TF3B","peat",301,"Twin fen",NA,41.236335,-106.282863,2963,"",13,15,NA,"15","system water temperature",1.2,-5.2,7.6,918,"",NA,NA,NA,NA
"MAWC.TF4A","MAWC.TF4A","peat",302,"Twin fen",NA,41.236335,-106.282863,2963,"",3,5,NA,"15","system water temperature",1.2,-5.2,7.6,918,"",NA,NA,NA,NA
"MAWC.TF4B","MAWC.TF4B","peat",303,"Twin fen",NA,41.236335,-106.282863,2963,"",13,15,NA,"15","system water temperature",1.2,-5.2,7.6,918,"",NA,NA,NA,NA
"MAWC.TL1A","MAWC.TL1A","peat",304,"Trout Lake",NA,37.815778,-107.892713,3072,"",3,5,NA,"8.37","system water temperature",2.4,-5.6,10.4,766,"",NA,NA,NA,NA
"MAWC.TL1B","MAWC.TL1B","peat",305,"Trout Lake",NA,37.815778,-107.892713,3072,"",40,42,NA,"8.37","system water temperature",2.4,-5.6,10.4,766,"",NA,NA,NA,NA
"MAWC.TL2A","MAWC.TL2A","peat",306,"Trout Lake",NA,37.815778,-107.892713,3072,"",3,5,NA,"8.37","system water temperature",2.4,-5.6,10.4,766,"",NA,NA,NA,NA
"MAWC.TL2B","MAWC.TL2B","peat",307,"Trout Lake",NA,37.815778,-107.892713,3072,"",89,91,NA,"8.37","system water temperature",2.4,-5.6,10.4,766,"",NA,NA,NA,NA
"MAWC.TL3A","MAWC.TL3A","peat",308,"Trout Lake",NA,37.815778,-107.892713,3072,"",3,5,NA,"8.37","system water temperature",2.4,-5.6,10.4,766,"",NA,NA,NA,NA
"MAWC.TL3B","MAWC.TL3B","peat",309,"Trout Lake",NA,37.815778,-107.892713,3072,"",76,78,NA,"8.37","system water temperature",2.4,-5.6,10.4,766,"",NA,NA,NA,NA
"MAWC.TL4A","MAWC.TL4A","peat",310,"Trout Lake",NA,37.815778,-107.892713,3072,"",3,5,NA,"8.37","system water temperature",2.4,-5.6,10.4,766,"",NA,NA,NA,NA
"MAWC.TL4B","MAWC.TL4B","peat",311,"Trout Lake",NA,37.815778,-107.892713,3072,"",55,57,NA,"8.37","system water temperature",2.4,-5.6,10.4,766,"",NA,NA,NA,NA
"MAWC.TL5A","MAWC.TL5A","peat",312,"Trout Lake",NA,37.815778,-107.892713,3072,"",3,5,NA,"8.37","system water temperature",2.4,-5.6,10.4,766,"",NA,NA,NA,NA
"MAWC.TL5B","MAWC.TL5B","peat",313,"Trout Lake",NA,37.815778,-107.892713,3072,"",18,19,NA,"8.37","system water temperature",2.4,-5.6,10.4,766,"",NA,NA,NA,NA
"MAWC.TP1A","MAWC.TP1A","peat",314,"Taylor Park",NA,38.904662,-106.578491,2924,"",2,4,NA,"15.71","system water temperature",1.5,-7.2,10.2,557,"",NA,NA,NA,NA
"MAWC.TP1B","MAWC.TP1B","peat",315,"Taylor Park",NA,38.904662,-106.578491,2924,"",10,12,NA,"15.71","system water temperature",1.5,-7.2,10.2,557,"",NA,NA,NA,NA
"MAWC.TP2A","MAWC.TP2A","peat",316,"Taylor Park",NA,38.904662,-106.578491,2924,"",3,5,NA,"15.71","system water temperature",1.5,-7.2,10.2,557,"",NA,NA,NA,NA
"MAWC.TP2B","MAWC.TP2B","peat",317,"Taylor Park",NA,38.904662,-106.578491,2924,"",42,44,NA,"15.71","system water temperature",1.5,-7.2,10.2,557,"",NA,NA,NA,NA
"MAWC.TP3A","MAWC.TP3A","peat",318,"Taylor Park",NA,38.904662,-106.578491,2924,"",3,5,NA,"15.71","system water temperature",1.5,-7.2,10.2,557,"",NA,NA,NA,NA
"MAWC.TP3B","MAWC.TP3B","peat",319,"Taylor Park",NA,38.904662,-106.578491,2924,"",41,43,NA,"15.71","system water temperature",1.5,-7.2,10.2,557,"",NA,NA,NA,NA
"MAWC.TP4B","MAWC.TP4B","peat",320,"Taylor Park",NA,38.904662,-106.578491,2924,"",5,7,NA,"15.71","system water temperature",1.5,-7.2,10.2,557,"",NA,NA,NA,NA
"MAWC.TX1B","MAWC.TX1B","peat",321,"Texas Creek fen",NA,38.863805,-106.458229,3000,"",15,17,NA,"12.76","system water temperature",1.2,-7.3,9.7,591,"",NA,NA,NA,NA
"MAWC.TX2B","MAWC.TX2B","peat",322,"Texas Creek fen",NA,38.863805,-106.458229,3000,"",18,20,NA,"12.76","system water temperature",1.2,-7.3,9.7,591,"",NA,NA,NA,NA
"MAWC.TX3A","MAWC.TX3A","peat",323,"Texas Creek fen",NA,38.863805,-106.458229,3000,"",3,5,NA,"12.76","system water temperature",1.2,-7.3,9.7,591,"",NA,NA,NA,NA
"MAWC.TX3B","MAWC.TX3B","peat",324,"Texas Creek fen",NA,38.863805,-106.458229,3000,"",17,19,NA,"12.76","system water temperature",1.2,-7.3,9.7,591,"",NA,NA,NA,NA
"MAWC.TX4A","MAWC.TX4A","peat",325,"Texas Creek fen",NA,38.863805,-106.458229,3000,"",3,5,NA,"12.76","system water temperature",1.2,-7.3,9.7,591,"",NA,NA,NA,NA
"MAWC.TX4B","MAWC.TX4B","peat",326,"Texas Creek fen",NA,38.863805,-106.458229,3000,"",13,15,NA,"12.76","system water temperature",1.2,-7.3,9.7,591,"",NA,NA,NA,NA
"MAWC.UP1A","MAWC.UP1A","peat",327,"Upper Paintrock Lake fen",NA,44.425979,-107.35242,2914,"",3,5,NA,"7.5","system water temperature",-0.4,-6,5.1,840,"",NA,NA,NA,NA
"MAWC.UP1B","MAWC.UP1B","peat",328,"Upper Paintrock Lake fen",NA,44.425979,-107.35242,2914,"",5,7,NA,"7.5","system water temperature",-0.4,-6,5.1,840,"",NA,NA,NA,NA
"MAWC.UP2A","MAWC.UP2A","peat",329,"Upper Paintrock Lake fen",NA,44.425979,-107.35242,2914,"",3,5,NA,"7.5","system water temperature",-0.4,-6,5.1,840,"",NA,NA,NA,NA
"MAWC.UP2B","MAWC.UP2B","peat",330,"Upper Paintrock Lake fen",NA,44.425979,-107.35242,2914,"",3,5,NA,"7.5","system water temperature",-0.4,-6,5.1,840,"",NA,NA,NA,NA
"MAWC.UP3A","MAWC.UP3A","peat",331,"Upper Paintrock Lake fen",NA,44.425979,-107.35242,2914,"",3,5,NA,"7.5","system water temperature",-0.4,-6,5.1,840,"",NA,NA,NA,NA
"MAWC.UP3B","MAWC.UP3B","peat",332,"Upper Paintrock Lake fen",NA,44.425979,-107.35242,2914,"",5,7,NA,"7.5","system water temperature",-0.4,-6,5.1,840,"",NA,NA,NA,NA
"MAWC.UP4B","MAWC.UP4B","peat",333,"Upper Paintrock Lake fen",NA,44.425979,-107.35242,2914,"",5,7,NA,"7.5","system water temperature",-0.4,-6,5.1,840,"",NA,NA,NA,NA
"MAWC.WC1A","MAWC.WC1A","peat",334,"Wyoming Complex",NA,44.979559,-109.421553,3238,"",3,5,NA,"17.18","system water temperature",-2.4,-8.3,3.4,993,"",NA,NA,NA,NA
"MAWC.WC1B","MAWC.WC1B","peat",335,"Wyoming Complex",NA,44.979559,-109.421553,3238,"",23,25,NA,"17.18","system water temperature",-2.4,-8.3,3.4,993,"",NA,NA,NA,NA
"MAWC.WC2A","MAWC.WC2A","peat",336,"Wyoming Complex",NA,44.979559,-109.421553,3238,"",3,5,NA,"17.18","system water temperature",-2.4,-8.3,3.4,993,"",NA,NA,NA,NA
"MAWC.WC2B","MAWC.WC2B","peat",337,"Wyoming Complex",NA,44.979559,-109.421553,3238,"",6,8,NA,"17.18","system water temperature",-2.4,-8.3,3.4,993,"",NA,NA,NA,NA
"MAWC.WC3A","MAWC.WC3A","peat",338,"Wyoming Complex",NA,44.979559,-109.421553,3238,"",3,5,NA,"17.18","system water temperature",-2.4,-8.3,3.4,993,"",NA,NA,NA,NA
"MAWC.WC3B","MAWC.WC3B","peat",339,"Wyoming Complex",NA,44.979559,-109.421553,3238,"",18,20,NA,"17.18","system water temperature",-2.4,-8.3,3.4,993,"",NA,NA,NA,NA
"MAWC.WC4A","MAWC.WC4A","peat",340,"Wyoming Complex",NA,44.979559,-109.421553,3238,"",3,5,NA,"17.18","system water temperature",-2.4,-8.3,3.4,993,"",NA,NA,NA,NA
"MAWC.WC4B","MAWC.WC4B","peat",341,"Wyoming Complex",NA,44.979559,-109.421553,3238,"",9,11,NA,"17.18","system water temperature",-2.4,-8.3,3.4,993,"",NA,NA,NA,NA
"MAWC.WG1A_S","MAWC.WG1A_S","peat",342,"Wagon Creek fen",NA,43.381299,-110.0677915,2695,"",3,5,NA,NA,NA,0.1,-7.8,8,577,"",NA,NA,NA,NA
"MAWC.WG1B_S","MAWC.WG1B_S","peat",343,"Wagon Creek fen",NA,43.381299,-110.0677915,2695,"",17,19,NA,NA,NA,0.1,-7.8,8,577,"",NA,NA,NA,NA
"MAWC.WG2A_S","MAWC.WG2A_S","peat",344,"Wagon Creek fen",NA,43.381299,-110.0677915,2695,"",3,5,NA,NA,NA,0.1,-7.8,8,577,"",NA,NA,NA,NA
"MAWC.WG2B_S","MAWC.WG2B_S","peat",345,"Wagon Creek fen",NA,43.381299,-110.0677915,2695,"",8,10,NA,NA,NA,0.1,-7.8,8,577,"",NA,NA,NA,NA
